key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-student-01,true,"UserIdentity{name: 'Victoria', surname: 'Ruiz', email: 'student01@gmail.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'María', surname: 'Lopez', email: 'student02@gmail.com'}",student2,student2
user-account-lecturer-01,true,"UserIdentity{name: 'Manuel', surname: 'Garcia Perez', email: 'lecturer1@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Lecturer', surname: '2', email: 'lecturer2@acme.com'}",lecturer2,lecturer2
user-account-lecturer-03,true,"UserIdentity{name: 'Lecturer3', surname: '3', email: 'lecturer3@acme.com'}",lecturer3,lecturer3
user-account-lecturer-04,true,"UserIdentity{name: 'Lecturer4', surname: '4', email: 'lecturer4@acme.com'}",lecturer4,lecturer4
user-account-lecturer-05,true,"UserIdentity{name: 'азъглаголь', surname: '^á^á^á', email: '^áазъглаголь^á@acme.com'}",This is a sample text for restrictions of 60 characters :).,This is a sample text for restrictions of 60 characters :).
user-account-lecturer-06,false,"UserIdentity{name: 'José Manuel', surname: 'De Burgos', email: 'JoseManuel@acme.com'}",lecturer6,lecturer6
user-account-auditor-01,true,"UserIdentity{name: 'Auditor', surname: '1', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor', surname: '2', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor', surname: '3', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-auditor-04,true,"UserIdentity{name: 'Auditor', surname: '4', email: 'auditor4@acme.com'}",auditor4,auditor4
user-account-auditor-05,true,"UserIdentity{name: 'Auditor', surname: '5', email: 'auditor5@acme.com'}",auditor5,auditor5
user-account-auditor-06,true,"UserIdentity{name: 'Auditor', surname: '6', email: 'auditor6@acme.com'}",auditor6,auditor6
user-account-auditor-07,true,"UserIdentity{name: 'Auditor', surname: '7', email: 'auditor7@acme.com'}",auditor7,auditor7
user-account-auditor-08,true,"UserIdentity{name: 'Auditor', surname: '8', email: 'auditor8@acme.com'}",auditor8,auditor8
user-account-auditor-09,true,"UserIdentity{name: 'Auditor', surname: '9', email: 'auditor9@acme.com'}",1111,auditor9
user-account-auditor-10,true,"UserIdentity{name: 'Auditor', surname: '10', email: 'auditor10@acme.com'}",This is a sample text for restrictions of 60 characters :)..,auditor10
user-account-auditor-11,true,"UserIdentity{name: 'Auditor', surname: '11', email: 'auditor11@acme.com'}",auditor11,This is a sample text for restrictions of 60 characters :)..
